P_Gas_Engines,Electricity|Gas|Internal Combustion
P_Gas_OCGT,Electricity|Gas|OCGT|w/o CCS
P_Gas_CCS,Electricity|Gas|CCGT|w/ CCS
P_H2_OCGT,Electricity|Hydrogen|OCGT
P_Nuclear,Electricity|Nuclear
P_Oil,Electricity|Oil|Internal Combustion|w/o CCS
PSNG_Air_Bio,Transportation|Passenger|Air|Biofuels
PSNG_Air_Conv,Transportation|Passenger|Air|Oil
PSNG_Air_H2,Transportation|Passenger|Air|Hydrogen
PSNG_Rail_Conv,Transportation|Passenger|Rail|Oil
PSNG_Rail_Electric,Transportation|Passenger|Rail|Electric
PSNG_Road_BEV,Transportation|Passenger|Road|Electric|Battery
PSNG_Road_H2,Transportation|Passenger|Road|Electric|Fuel Cell
PSNG_Road_ICE,Transportation|Passenger|Road|Internal Combustion Engine|Oil
PSNG_Road_LNG,Transportation|Passenger|Road|Internal Combustion Engine|LNG
PSNG_Road_PHEV,Transportation|Passenger|Road|Plugin Hybrid
R_Coal_Hardcoal,Resource|Coal|Hard Coal
R_Coal_Lignite,Resource|Coal|Lignite
R_Gas,Resource|Gas|Fossil
R_Nuclear,Resource|Nuclear
R_Oil,Resource|Oil
R_Biogas,Resource|Biogas
P_CSP,Electricity|Solar|CSP
P_Geothermal,Electricity|Geothermal
R_Grass,Resource|Biomass|Grass
P_Hydro_Reservoir,Electricity|Hydro|Reservoir
P_Hydro_RoR,Electricity|Hydro|Run of River
P_Ocean,Electricity|Ocean
R_Paper_Cardboard,Resource|Biomass|Paper
P_PV_Rooftop_Commercial,Electricity|Solar|PV|Rooftop|Commercial
P_PV_Rooftop_Residential,Electricity|Solar|PV|Rooftop|Residential
P_PV_Utility_Avg,Electricity|Solar|PV|Utility|Average
P_PV_Utility_Inf,Electricity|Solar|PV|Utility|Inferior
P_PV_Utility_Opt,Electricity|Solar|PV|Utility|Optimal
P_PV_Utility_Tracking,Electricity|Solar|PV|Utility|Tracking
R_Residues,Resource|Biomass|Residues
R_Roundwood,Resource|Biomass|Roundwood
P_Wind_Offshore_Deep,Electricity|Wind|Offshore|Deep
P_Wind_Offshore_Shallow,Electricity|Wind|Offshore|Shallow
P_Wind_Offshore_Transitional,Electricity|Wind|Offshore|Transitional
P_Wind_Onshore_Avg,Electricity|Wind|Onshore|Average
P_Wind_Onshore_Inf,Electricity|Wind|Onshore|Inferior
P_Wind_Onshore_Opt,Electricity|Wind|Onshore|Optimal
R_Wood,Resource|Biomass|Wood
X_Biofuel,Conversion|Biofuel Plant
X_DAC_HT,Conversion|Direct Air Capture|High Temperature
X_DAC_LT,Conversion|Direct Air Capture|Low Temperature
X_Electrolysis,Conversion|Electrolysis|Alkaline
X_Gasifier,Conversion|Gasification Plant
X_Liquifier,Conversion|Liquefication Plant
X_Methanation,Conversion|Methanation Plant
X_Powerfuel,Conversion|E-Fuel Plant
X_SMR,Conversion|Steam Methane Reforming|w/o CCS
X_ATR_CCS,Conversion|Autothermal Reforming|w/ CCS
Z_Import_Gas,Import|Gas|Fossil
Z_Import_H2,Import|Hydrogen
Z_Import_Hardcoal,Import|Coal|Hard Coal
Z_Import_LNG,Import|LNG
